date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:24:38	178/178	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2005%20May%202022%2007:24:17%20GMT	https://bolina.zooka.io/robots.txt		(from )
10:24:39	108635/108635	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20May%202022%2007:24:18%20GMT	https://bolina.zooka.io/	E:/templates/ANTIDOTE/New%20folder%20-%20Copy/https___bolina.zooka.io_/bolina.zooka.io/index.html	(from )
10:24:40	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2005%20May%202022%2007:24:19%20GMT	https://bolina.zooka.io/xmlrpc.php	E:/templates/ANTIDOTE/New%20folder%20-%20Copy/https___bolina.zooka.io_/bolina.zooka.io/xmlrpc.php	(from https://bolina.zooka.io/)
10:24:41	590/590	---MCZ	200	added ('OK')	text/css	etag:W/%225b640b77-24e%22	https://bolina.zooka.io/wp-content/plugins/cmssuperheroes/assets/css/cms-style.css?ver=4.9.8	E:/templates/ANTIDOTE/New%20folder%20-%20Copy/https___bolina.zooka.io_/bolina.zooka.io/wp-content/plugins/cmssuperheroes/assets/css/cms-style5010.css	(from https://bolina.zooka.io/)
10:24:42	20724/20724	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%222e5842baeecfe580bd9368b4c6dc6fe5%22	https://bolina.zooka.io/feed/	E:/templates/ANTIDOTE/New%20folder%20-%20Copy/https___bolina.zooka.io_/bolina.zooka.io/feed/index.html	(from https://bolina.zooka.io/)
10:24:42	1743/1743	---MCZ	200	added ('OK')	text/css	etag:W/%225b640b78-6cf%22	https://bolina.zooka.io/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.3	E:/templates/ANTIDOTE/New%20folder%20-%20Copy/https___bolina.zooka.io_/bolina.zooka.io/wp-content/plugins/contact-form-7/includes/css/stylesaead.css	(from https://bolina.zooka.io/)
10:24:42	730/730	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%228c862ad60ed516f5825097055d212f4c%22	https://bolina.zooka.io/home/feed/	E:/templates/ANTIDOTE/New%20folder%20-%20Copy/https___bolina.zooka.io_/bolina.zooka.io/home/feed/index.html	(from https://bolina.zooka.io/)
10:24:42	39750/39750	---MCZ	200	added ('OK')	text/css	etag:W/%225b640b78-9b46%22	https://bolina.zooka.io/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8	E:/templates/ANTIDOTE/New%20folder%20-%20Copy/https___bolina.zooka.io_/bolina.zooka.io/wp-content/plugins/revslider/public/assets/css/settings23da.css	(from https://bolina.zooka.io/)
10:24:43	739/739	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%228c862ad60ed516f5825097055d212f4c%22	https://bolina.zooka.io/comments/feed/	E:/templates/ANTIDOTE/New%20folder%20-%20Copy/https___bolina.zooka.io_/bolina.zooka.io/comments/feed/index.html	(from https://bolina.zooka.io/)
10:24:43	16542/16542	---MCZ	200	added ('OK')	text/css	etag:W/%225b640b79-409e%22	https://bolina.zooka.io/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=3.4.4	E:/templates/ANTIDOTE/New%20folder%20-%20Copy/https___bolina.zooka.io_/bolina.zooka.io/wp-content/plugins/woocommerce/assets/css/woocommerce-layoutedb1.css	(from https://bolina.zooka.io/)
10:24:43	6758/6758	---MCZ	200	added ('OK')	text/css	etag:W/%225b640b79-1a66%22	https://bolina.zooka.io/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=3.4.4	E:/templates/ANTIDOTE/New%20folder%20-%20Copy/https___bolina.zooka.io_/bolina.zooka.io/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreenedb1.css	(from https://bolina.zooka.io/)
10:24:43	61728/61728	---MCZ	200	added ('OK')	text/css	etag:W/%225b640b79-f120%22	https://bolina.zooka.io/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.4.4	E:/templates/ANTIDOTE/New%20folder%20-%20Copy/https___bolina.zooka.io_/bolina.zooka.io/wp-content/plugins/woocommerce/assets/css/woocommerceedb1.css	(from https://bolina.zooka.io/)
10:24:43	32004/32004	---MCZ	200	added ('OK')	text/css	etag:W/%225b8de951-7d04%22	https://bolina.zooka.io/wp-content/themes/zk-bolina/assets/css/bootstrap.min.css?ver=3.3.2	E:/templates/ANTIDOTE/New%20folder%20-%20Copy/https___bolina.zooka.io_/bolina.zooka.io/wp-content/themes/zk-bolina/assets/css/bootstrap.mind617.css	(from https://bolina.zooka.io/)
10:24:44	95086/95086	---MCZ	200	added ('OK')	text/css	etag:W/%225b8de94e-1736e%22	https://bolina.zooka.io/wp-content/themes/zk-bolina/assets/css/hover.css?ver=2.0.2	E:/templates/ANTIDOTE/New%20folder%20-%20Copy/https___bolina.zooka.io_/bolina.zooka.io/wp-content/themes/zk-bolina/assets/css/hover4c56.css	(from https://bolina.zooka.io/)
10:24:44	5904/5904	---MCZ	200	added ('OK')	text/css	etag:W/%225b8de94e-1710%22	https://bolina.zooka.io/wp-content/themes/zk-bolina/assets/css/popup.css?ver=1.0.0	E:/templates/ANTIDOTE/New%20folder%20-%20Copy/https___bolina.zooka.io_/bolina.zooka.io/wp-content/themes/zk-bolina/assets/css/popup8a54.css	(from https://bolina.zooka.io/)
10:24:44	53987/53987	---MCZ	200	added ('OK')	text/css	etag:W/%225b640b78-d2e3%22	https://bolina.zooka.io/wp-content/plugins/js_composer/assets/lib/bower/animate-css/animate.min.css?ver=5.5.2	E:/templates/ANTIDOTE/New%20folder%20-%20Copy/https___bolina.zooka.io_/bolina.zooka.io/wp-content/plugins/js_composer/assets/lib/bower/animate-css/animate.min4245.css	(from https://bolina.zooka.io/)
10:24:45	30611/30611	---MCZ	200	added ('OK')	text/css	etag:W/%225b640b78-7793%22	https://bolina.zooka.io/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.css?ver=5.5.2	E:/templates/ANTIDOTE/New%20folder%20-%20Copy/https___bolina.zooka.io_/bolina.zooka.io/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min4245.css	(from https://bolina.zooka.io/)
10:24:45	8201/8201	---MCZ	200	added ('OK')	text/css	etag:W/%225b8de94e-2009%22	https://bolina.zooka.io/wp-content/themes/zk-bolina/assets/css/pe-icon-7-stroke.css?ver=1.0	E:/templates/ANTIDOTE/New%20folder%20-%20Copy/https___bolina.zooka.io_/bolina.zooka.io/wp-content/themes/zk-bolina/assets/css/pe-icon-7-stroke5152.css	(from https://bolina.zooka.io/)
10:24:45	960/960	---MCZ	200	added ('OK')	text/css	etag:W/%225b8de951-3c0%22	https://bolina.zooka.io/wp-content/themes/zk-bolina/style.css?ver=4.9.8	E:/templates/ANTIDOTE/New%20folder%20-%20Copy/https___bolina.zooka.io_/bolina.zooka.io/wp-content/themes/zk-bolina/style5010.css	(from https://bolina.zooka.io/)
10:24:46	25238/25238	---MCZ	200	added ('OK')	text/css	etag:W/%225b8de94e-6296%22	https://bolina.zooka.io/wp-content/themes/zk-bolina/assets/css/woocommerce.css?ver=1.0.0	E:/templates/ANTIDOTE/New%20folder%20-%20Copy/https___bolina.zooka.io_/bolina.zooka.io/wp-content/themes/zk-bolina/assets/css/woocommerce8a54.css	(from https://bolina.zooka.io/)
10:24:46	205762/205762	---MCZ	200	added ('OK')	text/css	etag:W/%225b8debc2-323c2%22	https://bolina.zooka.io/wp-content/themes/zk-bolina/assets/css/static.css?ver=1.0.0	E:/templates/ANTIDOTE/New%20folder%20-%20Copy/https___bolina.zooka.io_/bolina.zooka.io/wp-content/themes/zk-bolina/assets/css/static8a54.css	(from https://bolina.zooka.io/)
